Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
46,Sunday May 20,boxscore,SEA,,DET,W-wo,3,2,11,27-19,2,2.0,Vincent,Farmer,,3:21,D,34252,+++,
47,Tuesday May 22,boxscore,SEA,@,OAK,W,3,2,10,28-19,2,2.0,Vincent,Petit,Diaz,2:50,N,9408,++++,
48,Wednesday May 23,boxscore,SEA,@,OAK,W,1,0,,29-19,2,2.0,Gonzales,Gossett,Diaz,2:43,N,6991,+++++,
49,Thursday May 24,boxscore,SEA,@,OAK,L,3,4,,29-20,2,3.0,Petit,Hernandez,Treinen,2:44,D,12633,-,
50,Friday May 25,boxscore,SEA,,MIN,W,2,1,,30-20,2,3.0,Paxton,Romero,Diaz,2:14,N,19924,+,
51,Saturday May 26,boxscore,SEA,,MIN,W-wo,4,3,12,31-20,2,2.0,Bradford,Magill,,3:40,N,23986,++,
52,Sunday May 27,boxscore,SEA,,MIN,W,3,1,,32-20,2,1.0,Leake,Berrios,Colome,2:18,D,31340,+++,
53,Monday May 28,boxscore,SEA,,TEX,W,2,1,,33-20,2,1.0,Gonzales,Fister,Diaz,2:32,D,26236,++++,
54,Tuesday May 29,boxscore,SEA,,TEX,L,5,9,,33-21,2,1.0,Claudio,Diaz,,3:40,N,13259,-,
55,Wednesday May 30,boxscore,SEA,,TEX,L,6,7,,33-22,2,1.0,Barnette,Rzepczynski,Kela,3:17,N,13070,--,
56,Thursday May 31,boxscore,SEA,,TEX,W,6,1,,34-22,2,1.0,LeBlanc,Minor,,2:53,N,15630,+,
57,Friday Jun 1,boxscore,SEA,,TBR,W-wo,4,3,13,35-22,2,1.0,Elias,Andriese,,4:16,N,22636,++,
58,Saturday Jun 2,boxscore,SEA,,TBR,W,3,1,,36-22,1,Tied,Gonzales,Archer,Diaz,2:57,N,28599,+++,
59,Sunday Jun 3,boxscore,SEA,,TBR,W,2,1,,37-22,1,up 1.0,Hernandez,Alvarado,Diaz,2:40,D,26567,++++,
60,Tuesday Jun 5,boxscore,SEA,@,HOU,W,7,1,,38-22,1,up 2.0,Paxton,Keuchel,,2:29,N,35646,+++++,
